ncbi_id,reactome_id,reactome_name
10046,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
10046,R-HSA-350054,Notch-HLH transcription pathway
10046,R-HSA-8941856,RUNX3 regulates NOTCH signaling
10046,R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription
10046,R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription
10046,R-HSA-9793380,Formation of paraxial mesoderm
10048,R-HSA-373760,L1CAM interactions
10048,R-HSA-5673001,RAF/MAP kinase cascade
10048,R-HSA-8851805,MET activates RAS signaling
10048,R-HSA-9861718,Regulation of pyruvate metabolism
10049,R-HSA-3371453,Regulation of HSF1-mediated heat shock response
1005,R-HSA-418990,Adherens junctions interactions
100505724,R-HSA-6805567,Keratinization
100505753,R-HSA-6805567,Keratinization
100507436,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
100507608,R-HSA-6805567,Keratinization
10051,R-HSA-2299718,Condensation of Prophase Chromosomes
10051,R-HSA-2514853,Condensation of Prometaphase Chromosomes
10052,R-HSA-112303,Electric Transmission Across Gap Junctions
10052,R-HSA-190861,Gap junction assembly
100526737,R-HSA-8941326,RUNX2 regulates bone development
100526739,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
100526739,R-HSA-2467813,Separation of Sister Chromatids
100526739,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
100526739,R-HSA-5663220,RHO GTPases Activate Formins
100526739,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere
100526739,R-HSA-6783310,Fanconi Anemia Pathway
100526739,R-HSA-68877,Mitotic Prometaphase
100526739,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation
100526739,R-HSA-9833482,PKR-mediated signaling
100526767,R-HSA-162588,Budding and maturation of HIV virion
100526767,R-HSA-1632852,Macroautophagy
100526767,R-HSA-5620971,Pyroptosis
100526767,R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT)
100526767,R-HSA-9610379,HCMV Late Events
100526767,R-HSA-9615710,Late endosomal microautophagy
100526767,R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III
100526767,R-HSA-9679504,Translation of Replicase and Assembly of the Replication Transcription Complex
100526767,R-HSA-9694676,Translation of Replicase and Assembly of the Replication Transcription Complex
100526794,R-HSA-74259,Purine catabolism
100527963,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
100527963,R-HSA-2467813,Separation of Sister Chromatids
100527963,R-HSA-2500257,Resolution of Sister Chromatid Cohesion
100527963,R-HSA-5663220,RHO GTPases Activate Formins
100527963,R-HSA-68877,Mitotic Prometaphase
100527963,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation
100528030,R-HSA-913709,O-linked glycosylation of mucins
100529261,R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade"
100529261,R-HSA-9648002,RAS processing
100529261,R-HSA-9679191,Potential therapeutics for SARS
